mysql: [Warning] Using a password on the command line interface can be insecure.
id,cliente_id,servicio_id,barbero_id,fecha_hora,precio,estado,metodo_pago,cliente,servicio,barbero
1,960,15,8,2024-10-05 11:00:00,14000.00,atendida,nequi,Alejandro Ruiz Montoya,Cejas + barba,Tato Fade
2,373,1,30,2023-02-16 16:00:00,12000.00,atendida,transferencia,Juan Ríos Martínez,Corte de cabello Basico,Pipe Navajas
3,1679,8,8,2023-07-27 08:00:00,16000.00,cancelada,daviplata,Yeison Mendoza Delgado,Corte moderno,Tato Fade
4,1815,5,24,2023-02-28 15:00:00,15000.00,atendida,tarjeta,Valentina Ríos Suárez,Corte degradado,El Negro Barber
5,303,22,20,2023-08-18 12:00:00,15000.00,atendida,tarjeta,Diego Morales Rojas,Masaje capilar,El Paisa Cuts
6,1008,26,31,2023-03-25 16:00:00,50000.00,cancelada,efectivo,Catalina Montoya Herrera,Corte + lavado + barba,Cristian Fade
7,1930,12,2,2023-10-19 14:00:00,12000.00,atendida,nequi,Alejandro Martínez Espinoza,Barba completa,Maicol Style
8,1450,30,29,2024-10-24 14:00:00,40000.00,atendida,daviplata,Deisy Ortiz Arias,Decoloracion,El Calvo Cuts
9,799,7,29,2024-09-24 11:00:00,13000.00,atendida,daviplata,Marcela Guerrero Rodríguez,Corte clasico,El Calvo Cuts
10,157,25,12,2024-06-12 08:00:00,80000.00,cancelada,daviplata,Santiago Pérez Ramírez,Coloracion fantasia,Duvan Fresh
11,1840,2,21,2024-11-13 08:00:00,15000.00,cancelada,tarjeta,Juan Delgado Medina,Corte de cabello Basico + barba,Wilmar Style
12,574,17,25,2023-10-22 09:00:00,20000.00,atendida,daviplata,Fernando Díaz Rodríguez,Limpieza facial,Lucho Precision
13,1101,29,27,2023-04-14 10:00:00,50000.00,atendida,transferencia,Marcela Correa Díaz,Mechas,Tomas Clipper
14,1759,1,17,2024-02-13 09:00:00,12000.00,atendida,nequi,Melissa Ortiz Delgado,Corte de cabello Basico,Kevin El Maestro
15,1656,7,3,2024-09-13 08:00:00,13000.00,atendida,daviplata,Diana Bedoya Moreno,Corte clasico,Juancho El Indio
16,1113,6,23,2024-12-05 08:00:00,14000.00,atendida,efectivo,Esteban Flores Moreno,Corte navaja,Santi Premium
