id,cliente_id,servicio_id,barbero_id,fecha_hora,precio,estado,metodo_pago,cliente,servicio,barbero
1,960,15,8,2024-10-05 11:00:00,14000.00,atendida,nequi,Alejandro Ruiz Montoya,Tinte completo,Tato Fade
2,373,1,30,2023-02-16 16:00:00,12000.00,atendida,transferencia,Juan Ríos Martínez,Corte de cabello Basico,Pipe Navajas
3,1679,8,8,2023-07-27 08:00:00,16000.00,cancelada,daviplata,Yeison Mendoza Delgado,Corte + lavado,Tato Fade
4,1815,5,24,2023-02-28 15:00:00,15000.00,atendida,tarjeta,Valentina Ríos Suárez,Corte de cabello Basico,El Negro Barber
5,303,22,20,2023-08-18 12:00:00,15000.00,atendida,tarjeta,Diego Morales Rojas,Hidratacion capilar,El Paisa Cuts
6,1008,26,31,2023-03-25 16:00:00,50000.00,cancelada,efectivo,Catalina Montoya Herrera,Masaje capilar,Cristian Fade
7,1930,12,2,2023-10-19 14:00:00,12000.00,atendida,nequi,Alejandro Martínez Espinoza,Corte moderno,Maicol Style
8,1450,30,29,2024-10-24 14:00:00,40000.00,atendida,daviplata,Deisy Ortiz Arias,Corte + lavado + barba,El Calvo Cuts
9,799,7,29,2024-09-24 11:00:00,13000.00,atendida,daviplata,Marcela Guerrero Rodríguez,Arreglo de barba,El Calvo Cuts
10,157,25,12,2024-06-12 08:00:00,80000.00,cancelada,daviplata,Santiago Pérez Ramírez,Corte + hidratacion,Duvan Fresh
11,1840,2,21,2024-11-13 08:00:00,15000.00,cancelada,tarjeta,Juan Delgado Medina,Corte de cabello Basico + barba,Wilmar Style
12,574,17,25,2023-10-22 09:00:00,20000.00,atendida,daviplata,Fernando Díaz Rodríguez,Barba + hidratacion,Lucho Precision
13,1101,29,27,2023-04-14 10:00:00,50000.00,atendida,transferencia,Marcela Correa Díaz,Coloracion fantasia,Tomas Clipper
14,1759,1,17,2024-02-13 09:00:00,12000.00,atendida,nequi,Melissa Ortiz Delgado,Corte de cabello Basico,Kevin El Maestro
15,1656,7,3,2024-09-13 08:00:00,13000.00,atendida,daviplata,Diana Bedoya Moreno,Arreglo de barba,Juancho El Indio
16,1113,6,23,2024-12-05 08:00:00,14000.00,atendida,efectivo,Esteban Flores Moreno,Corte de cabello Basico + barba,Santi Premium
17,575,11,5,2023-02-17 12:00:00,25000.00,cancelada,efectivo,Xiomara Ramos Montoya,Corte clasico,El Vikingo
18,169,8,29,2024-09-24 15:00:00,16000.00,atendida,tarjeta,Esteban Correa Medina,Corte + lavado,El Calvo Cuts
19,990,17,13,2024-11-15 10:00:00,20000.00,cancelada,transferencia,Diana Parra Bedoya,Barba + hidratacion,Camilo Pro
20,1497,7,8,2024-01-08 16:00:00,13000.00,atendida,tarjeta,Nathaly Londoño Ramos,Arreglo de barba,Tato Fade
21,1695,16,29,2023-04-13 11:00:00,8000.00,atendida,efectivo,Marcela Medina Flores,Barba completa,El Calvo Cuts
22,1218,14,23,2024-12-03 08:00:00,15000.00,atendida,tarjeta,Sergio Bedoya Delgado,Corte + tinte,Santi Premium
23,1291,10,17,2023-08-22 09:00:00,35000.00,atendida,efectivo,Natalia Mendoza Herrera,Corte navaja,Kevin El Maestro
24,624,26,12,2024-12-17 08:00:00,50000.00,atendida,efectivo,Andrea Díaz Ocampo,Masaje capilar,Duvan Fresh
25,1524,4,3,2024-08-31 14:00:00,18000.00,cancelada,nequi,Dayana Montoya Guerrero,Corte + lavado,Juancho El Indio
26,1089,16,14,2023-02-05 10:00:00,8000.00,cancelada,transferencia,Oscar Muñoz Medina,Barba completa,El Tigre Cuts
27,1664,6,31,2023-08-28 08:00:00,14000.00,atendida,efectivo,Nathaly Ramos Rojas,Corte de cabello Basico + barba,Cristian Fade
28,1034,2,6,2024-11-12 14:00:00,15000.00,atendida,efectivo,Sara Ríos Pérez,Corte de cabello Basico + barba,Chelo Cuts
29,1552,20,7,2024-10-18 10:00:00,22000.00,atendida,efectivo,Carolina Castro Ortiz,Depilacion de cejas,Pipe El Crack
30,1970,23,30,2024-01-27 08:00:00,30000.00,atendida,nequi,Cristian González Pérez,Keratina,Pipe Navajas
31,1398,27,7,2023-10-12 10:00:00,22000.00,cancelada,transferencia,Cristian Rodríguez Romero,Tratamiento anticaida,Pipe El Crack
32,1163,29,8,2024-04-14 10:00:00,50000.00,cancelada,efectivo,Patricia Ramos Parra,Coloracion fantasia,Tato Fade
33,714,21,30,2023-09-22 16:00:00,25000.00,cancelada,nequi,Fabian Vargas Zapata,Limpieza facial,Pipe Navajas
34,1663,19,30,2024-10-14 12:00:00,60000.00,atendida,nequi,Esteban Reyes Londoño,Cejas + barba,Pipe Navajas
35,1412,27,19,2023-08-06 11:00:00,22000.00,atendida,tarjeta,Miguel Castro Ospina,Tratamiento anticaida,Fercho Barber
36,1477,29,17,2024-01-13 08:00:00,50000.00,atendida,nequi,Steven Medina Jiménez,Coloracion fantasia,Kevin El Maestro
37,872,19,8,2024-09-22 12:00:00,60000.00,atendida,tarjeta,Hernán Gómez Zapata,Cejas + barba,Tato Fade
38,1678,20,17,2023-12-21 17:00:00,22000.00,atendida,transferencia,Brayan Silva Díaz,Depilacion de cejas,Kevin El Maestro
39,120,17,20,2023-10-21 10:00:00,20000.00,cancelada,transferencia,Luis Rodríguez Reyes,Barba + hidratacion,El Paisa Cuts
40,817,5,18,2023-05-22 12:00:00,15000.00,atendida,tarjeta,Raúl Peña García,Corte de cabello Basico,Nico Estilo
41,992,29,11,2023-05-24 11:00:00,50000.00,atendida,efectivo,Sofia Bedoya Reyes,Coloracion fantasia,El Mono Barber
42,832,21,17,2023-04-04 11:00:00,25000.00,atendida,nequi,Carolina Cárdenas Ruiz,Limpieza facial,Kevin El Maestro
43,602,28,30,2023-11-27 10:00:00,55000.00,cancelada,tarjeta,Daniela Ospina Londoño,Pack novio completo,Pipe Navajas
44,1575,27,25,2023-11-26 08:00:00,22000.00,atendida,tarjeta,Carolina García Jiménez,Tratamiento anticaida,Lucho Precision
45,988,15,5,2023-10-18 11:00:00,14000.00,atendida,efectivo,Adriana López Sánchez,Tinte completo,El Vikingo
46,728,4,24,2024-07-10 08:00:00,18000.00,atendida,tarjeta,Adriana Martínez Rivera,Corte + lavado,El Negro Barber
47,605,2,15,2023-09-07 11:00:00,15000.00,cancelada,nequi,Santiago Morales Herrera,Corte de cabello Basico + barba,Jhon Navajas
48,1737,27,7,2023-04-01 11:00:00,22000.00,atendida,efectivo,Oscar Henao Suárez,Tratamiento anticaida,Pipe El Crack
49,520,28,5,2023-05-13 09:00:00,55000.00,cancelada,tarjeta,Leidy Espinoza Rodríguez,Pack novio completo,El Vikingo
50,1630,28,8,2023-06-18 17:00:00,55000.00,atendida,efectivo,Esteban García Cárdenas,Pack novio completo,Tato Fade
51,1779,17,13,2023-02-04 08:00:00,20000.00,atendida,nequi,Xiomara Espinoza Moreno,Barba + hidratacion,Camilo Pro
52,1275,17,6,2023-03-08 17:00:00,20000.00,atendida,efectivo,Sara Salazar Silva,Barba + hidratacion,Chelo Cuts
53,941,29,31,2023-04-17 14:00:00,50000.00,atendida,daviplata,Rodrigo Flores Arias,Coloracion fantasia,Cristian Fade
54,1129,18,20,2023-08-30 11:00:00,22000.00,atendida,tarjeta,Alejandro Gómez Vega,Afeitado clasico navaja,El Paisa Cuts
55,747,10,8,2024-09-22 16:00:00,35000.00,atendida,efectivo,Patricia Rivera Ramos,Corte navaja,Tato Fade
56,1482,22,13,2023-02-11 15:00:00,15000.00,atendida,daviplata,Duvan Muñoz Ortiz,Hidratacion capilar,Camilo Pro
57,1288,13,22,2024-08-07 17:00:00,18000.00,atendida,nequi,Luis Suárez Arias,Corte infantil,Diego Fadero
58,1730,19,24,2024-04-03 11:00:00,60000.00,atendida,nequi,Steven Cruz Silva,Cejas + barba,El Negro Barber
59,502,10,14,2024-04-19 18:00:00,35000.00,atendida,tarjeta,Rodrigo Peña Henao,Corte navaja,El Tigre Cuts
60,943,18,21,2023-12-31 14:00:00,22000.00,atendida,tarjeta,Lizeth Jiménez Cruz,Afeitado clasico navaja,Wilmar Style
61,1608,11,7,2024-12-18 08:00:00,25000.00,atendida,tarjeta,Cristian Ruiz Torres,Corte clasico,Pipe El Crack
62,260,28,8,2023-04-24 09:00:00,55000.00,atendida,efectivo,Marcela Martínez Zapata,Pack novio completo,Tato Fade
63,1228,19,17,2023-12-14 08:00:00,60000.00,atendida,nequi,Ferney Cárdenas Londoño,Cejas + barba,Kevin El Maestro
64,897,29,7,2024-10-25 12:00:00,50000.00,atendida,transferencia,Alejandro Suárez Sánchez,Coloracion fantasia,Pipe El Crack
65,574,1,12,2023-05-17 17:00:00,12000.00,cancelada,transferencia,Fernando Díaz Rodríguez,Corte de cabello Basico,Duvan Fresh
66,626,7,22,2024-04-29 18:00:00,13000.00,atendida,efectivo,Maria Silva García,Arreglo de barba,Diego Fadero
67,1963,23,30,2024-10-29 14:00:00,30000.00,cancelada,nequi,Esteban Suárez Ríos,Keratina,Pipe Navajas
68,1168,3,8,2023-11-12 18:00:00,8000.00,cancelada,transferencia,Ferney Torres Silva,Arreglo de barba,Tato Fade
69,1064,25,2,2023-10-23 15:00:00,80000.00,cancelada,tarjeta,Leidy Ortiz García,Corte + hidratacion,Maicol Style
70,1078,4,22,2024-01-09 16:00:00,18000.00,atendida,nequi,Marcela Ramos Silva,Corte + lavado,Diego Fadero
71,253,27,13,2024-06-15 15:00:00,22000.00,atendida,nequi,Johana Castro Jiménez,Tratamiento anticaida,Camilo Pro
72,1205,22,10,2024-01-17 08:00:00,15000.00,atendida,nequi,Ferney Sánchez Arias,Hidratacion capilar,Yeferson King
73,775,21,20,2024-01-01 10:00:00,25000.00,cancelada,nequi,Maria Mendoza Ramírez,Limpieza facial,El Paisa Cuts
74,1029,19,3,2024-07-25 10:00:00,60000.00,cancelada,transferencia,Diego Muñoz Flores,Cejas + barba,Juancho El Indio
75,1146,17,10,2023-05-14 11:00:00,20000.00,atendida,daviplata,Miguel Ruiz Muñoz,Barba + hidratacion,Yeferson King
76,188,15,29,2023-03-29 16:00:00,14000.00,atendida,transferencia,Nathaly Ríos Rivera,Tinte completo,El Calvo Cuts
77,1560,30,2,2024-09-26 17:00:00,40000.00,cancelada,efectivo,Jorge Peña Correa,Corte + lavado + barba,Maicol Style
78,933,26,7,2023-08-29 17:00:00,50000.00,cancelada,tarjeta,Ricardo Medina Guerrero,Masaje capilar,Pipe El Crack
79,564,24,3,2023-03-15 10:00:00,50000.00,atendida,efectivo,Fernando Ocampo Suárez,Corte + barba + cejas,Juancho El Indio
80,1197,13,21,2024-06-30 15:00:00,18000.00,atendida,efectivo,Oscar Parra Martínez,Corte infantil,Wilmar Style
81,426,27,4,2024-12-18 12:00:00,22000.00,atendida,efectivo,Deisy Espinoza Pérez,Tratamiento anticaida,Mateo Barber
82,796,6,10,2023-06-15 17:00:00,14000.00,atendida,transferencia,Rodrigo Jiménez Vargas,Corte de cabello Basico + barba,Yeferson King
83,1526,9,18,2024-06-28 15:00:00,10000.00,atendida,nequi,Duvan López Bedoya,Corte degradado,Nico Estilo
84,1058,3,27,2024-12-25 15:00:00,8000.00,atendida,efectivo,Paola Cárdenas Medina,Arreglo de barba,Tomas Clipper
85,1469,11,5,2023-07-28 11:00:00,25000.00,cancelada,nequi,Xiomara Ruiz Cruz,Corte clasico,El Vikingo
86,1997,19,25,2023-04-28 14:00:00,60000.00,atendida,efectivo,Daniela Bedoya Rojas,Cejas + barba,Lucho Precision
87,1797,23,19,2023-10-12 17:00:00,30000.00,atendida,transferencia,Leidy Torres Ramos,Keratina,Fercho Barber
88,891,19,29,2024-04-06 10:00:00,60000.00,atendida,nequi,Wilmar Reyes Ramírez,Cejas + barba,El Calvo Cuts
89,1337,27,31,2024-05-16 08:00:00,22000.00,atendida,efectivo,Alejandro Romero Ríos,Tratamiento anticaida,Cristian Fade
90,1653,15,2,2023-02-07 18:00:00,14000.00,atendida,nequi,Raúl Herrera Flores,Tinte completo,Maicol Style
91,263,1,12,2023-06-22 17:00:00,12000.00,atendida,tarjeta,Sara Parra Rojas,Corte de cabello Basico,Duvan Fresh
92,592,4,19,2024-07-29 10:00:00,18000.00,atendida,efectivo,Claudia López Gutiérrez,Corte + lavado,Fercho Barber
93,1709,19,21,2024-09-30 16:00:00,60000.00,cancelada,efectivo,Cristian Ortiz Martínez,Cejas + barba,Wilmar Style
94,869,21,10,2024-05-27 12:00:00,25000.00,atendida,nequi,Catalina Castro Rojas,Limpieza facial,Yeferson King
95,1871,28,5,2023-09-25 14:00:00,55000.00,atendida,efectivo,Maria García Montoya,Pack novio completo,El Vikingo
96,832,3,15,2023-09-07 12:00:00,8000.00,cancelada,nequi,Carolina Cárdenas Ruiz,Arreglo de barba,Jhon Navajas
97,1889,1,11,2023-09-02 17:00:00,12000.00,cancelada,daviplata,Andrés Romero Medina,Corte de cabello Basico,El Mono Barber
98,1836,24,7,2023-01-21 12:00:00,50000.00,atendida,tarjeta,Nicolás Suárez Arias,Corte + barba + cejas,Pipe El Crack
99,1504,28,6,2024-09-02 10:00:00,55000.00,cancelada,tarjeta,Yeison Montoya López,Pack novio completo,Chelo Cuts
100,323,27,17,2023-02-18 18:00:00,22000.00,atendida,transferencia,Diego Zapata Mendoza,Tratamiento anticaida,Kevin El Maestro
101,571,2,27,2024-01-17 09:00:00,15000.00,cancelada,nequi,Esteban Díaz Rivera,Corte de cabello Basico + barba,Tomas Clipper
102,969,16,28,2024-10-28 09:00:00,8000.00,atendida,efectivo,Natalia Gómez Zapata,Barba completa,Yeison Barber
103,545,17,14,2023-09-15 09:00:00,20000.00,atendida,tarjeta,Natalia Martínez Rojas,Barba + hidratacion,El Tigre Cuts
104,1376,12,19,2024-10-12 16:00:00,12000.00,atendida,nequi,Raúl Martínez Zapata,Corte moderno,Fercho Barber
105,1748,26,26,2024-07-12 12:00:00,50000.00,atendida,efectivo,Cristian Arias Suárez,Masaje capilar,Andres El Pro
106,1553,10,9,2024-01-06 16:00:00,35000.00,atendida,tarjeta,Patricia Delgado Ospina,Corte navaja,Brayan Scissors
107,415,5,21,2023-12-20 12:00:00,15000.00,atendida,daviplata,Johana Peña Henao,Corte de cabello Basico,Wilmar Style
108,1604,6,24,2024-08-03 12:00:00,14000.00,cancelada,tarjeta,Jhon Rojas Vega,Corte de cabello Basico + barba,El Negro Barber
109,1144,17,13,2024-01-11 14:00:00,20000.00,cancelada,transferencia,Isabella Peña Gómez,Barba + hidratacion,Camilo Pro
110,836,12,6,2024-09-13 16:00:00,12000.00,atendida,transferencia,Andrés Reyes García,Corte moderno,Chelo Cuts
111,1657,20,29,2024-07-09 18:00:00,22000.00,atendida,daviplata,Catalina Parra Moreno,Depilacion de cejas,El Calvo Cuts
112,646,7,30,2023-08-27 11:00:00,13000.00,atendida,nequi,Johana Rodríguez Correa,Arreglo de barba,Pipe Navajas
113,1609,26,4,2023-02-07 10:00:00,50000.00,atendida,transferencia,Miguel Londoño Ruiz,Masaje capilar,Mateo Barber
114,775,18,4,2024-03-02 18:00:00,22000.00,atendida,daviplata,Maria Mendoza Ramírez,Afeitado clasico navaja,Mateo Barber
